Sigla,Nome da Fundação,Instituição(ões) Apoiada(s),UF,Tipo de Instituição,Sistema de Ouvidoria,Ouvidoria Própria?,Canal / URL,Verificação,Observações
FCPC,Fundação Cearense de Pesquisa e Cultura,UFC,CE,Universidade Federal,Própria,Sim,https://fcpc.ufc.br/ouvidoria/,Verificado,Ouvidoria própria criada pela Portaria 007/2016; ouvidoria@fcpc.ufc.br.
FINATEC,Fundação de Empreendimentos Científicos e Tecnológicos,UnB,DF,Universidade Federal,Própria,Sim,https://www.finatec.org.br,Verificado,Possui Ouvidoria e Linha Ética; atuação ativa em auditoria e transparência ativa.
FUNAPE,Fundação de Apoio à Pesquisa,UFG,GO,Universidade Federal,Própria,Sim,https://site.funape.org.br/ouvidoria.php,Verificado,Página de Ouvidoria própria + Política de Compliance (Lei 13.460/2017).
FUNARBE,Fundação de Apoio à Universidade Federal de Viçosa,UFV,MG,Universidade Federal,Própria,Sim,https://funarbe.org.br/a-funarbe/compliance/,Verificado,Canal de Ouvidoria gerido por escritório externo; ISO 37301/37001; selo CGU 'Pacto Brasil pela Integridade'.
FUNDEP,Fundação de Desenvolvimento da Pesquisa,"UFMG, UFABC, ITA",MG,Universidade Federal,Própria,Sim,https://www.fundep.br/canal-de-denuncias/,Verificado,Canal de Denúncias gerido por empresa externa (anonimato); programa de compliance/Código de Conduta.
FAPEC,"Fundação de Apoio à Pesquisa, ao Ensino e à Cultura",UFMS,MS,Universidade Federal,Própria,Sim,https://fundacaofapec.org.br,Verificado,Ouvidoria por e-mail; única fundação credenciada MEC/MCTI de apoio à UFMS.
FADESP,Fundação de Amparo e Desenvolvimento da Pesquisa,UFPA,PA,Universidade Federal,Própria (parcial) + Fala.BR / universidade,Parcial,https://transparencia.fadesp.org.br/,Verificado,Portal de Transparência próprio; ouvidoria/denúncias direcionadas à Ouvidoria da UFPA (Fala.BR).
FADE,Fundação de Apoio ao Desenvolvimento da UFPE,UFPE,PE,Universidade Federal,Própria,Sim,https://www.fade.org.br,Verificado,Seção de Ouvidoria no portal de transparência; manifestações da sociedade e de pesquisadores.
COPPETEC,"Fundação Coordenação de Projetos, Pesquisas e Estudos Tecnológicos",UFRJ,RJ,Universidade Federal,Própria,Sim,https://ouvidoria.coppetec.coppe.ufrj.br/,Verificado,Ouvidoria própria (ouvidoria.coppetec.coppe.ufrj.br) + Política de Integridade/Transparência; auditada pelo MP (Curadoria de Fundações).
FUNPEC,Fundação Norte-Rio-Grandense de Pesquisa e Cultura,UFRN,RN,Universidade Federal,Própria,Sim,https://www.funpec.br,Verificado,Disponibiliza canal de Ouvidoria e Serviço de Informação ao Cidadão (SIC).
FAI.UFSCAR,Fundação de Apoio Institucional ao Desenvolvimento Científico e Tecnológico,UFSCar,SP,Universidade Federal,Própria (parcial) + Fala.BR / universidade,Parcial,https://www.fai.ufscar.br/transparencia/home/index/1,Verificado,"Tem Portal da Transparência próprio, mas NÃO possui ouvidoria/canal de denúncias nominal. Ouvidoria via UFSCar (ouvidoria.ufscar.br) e CPE-UFSCar / Fala.BR."
FAP UNIFESP,Fundação de Apoio à UNIFESP,"UNIFESP, UFABC",SP,Universidade Federal,Própria,Sim,https://www.fapunifesp.edu.br,Verificado,Canal de comunicação direta para transparência/compliance; LGPD e Portal da Transparência.
FUNDAPE,Fundação de Apoio ao Desenvolvimento da Pesquisa e Extensão,UFAC,AC,Universidade Federal,A verificar,A verificar,,Pendente,
FUNDEPES,Fundação Universitária de Desenvolvimento de Extensão e Pesquisa,UFAL,AL,Universidade Federal,A verificar,A verificar,,Pendente,
UNISOL,Fundação Universidade Solidária,UFAM,AM,Universidade Federal,A verificar,A verificar,,Pendente,
ADM,Fundação Escola de Administração,UFBA,BA,Universidade Federal,A verificar,A verificar,,Pendente,
FAPEX,Fundação de Apoio à Pesquisa e Extensão,"UFBA, UFRB, UFOB, UNILAB, IFBA",BA,Universidade Federal,A verificar,A verificar,,Pendente,
FEPBA,Fundação Escola Politécnica da Bahia,"UFBA, IFBA, UFSB",BA,Universidade Federal,A verificar,A verificar,,Pendente,
ASTEF,Fundação Cearense de Apoio ao Desenvolvimento Científico e Tecnológico,UFC,CE,Universidade Federal,A verificar,A verificar,,Pendente,
FAHUB,Fundação de Apoio ao Hospital Universitário de Brasília,HUB (UnB),DF,Universidade Federal,A verificar,A verificar,,Pendente,
